,Result
0,"['us-ak', 18.0]"
1,"['us-al', 245.0]"
2,"['us-ar', 173.0]"
3,"['us-az', 289.0]"
4,"['us-ca', 1288.0]"
5,"['us-co', 211.0]"
6,"['us-ct', 147.0]"
7,"['us-dc', 28.0]"
8,"['us-de', 37.0]"
9,"['us-fl', 907.0]"
10,"['us-ga', 454.0]"
11,"['us-hi', 53.0]"
12,"['us-ia', 147.0]"
13,"['us-id', 62.0]"
14,"['us-il', 663.0]"
15,"['us-in', 349.0]"
16,"['us-ks', 148.0]"
17,"['us-ky', 251.0]"
18,"['us-la', 240.0]"
19,"['us-ma', 242.0]"
20,"['us-md', 288.0]"
21,"['us-me', 62.0]"
22,"['us-mi', 545.0]"
23,"['us-mn', 226.0]"
24,"['us-mo', 315.0]"
25,"['us-ms', 144.0]"
26,"['us-mt', 48.0]"
27,"['us-nc', 489.0]"
28,"['us-nd', 25.0]"
29,"['us-ne', 78.0]"
30,"['us-nh', 54.0]"
31,"['us-nj', 264.0]"
32,"['us-nm', 104.0]"
33,"['us-nv', 144.0]"
34,"['us-ny', 617.0]"
35,"['us-oh', 615.0]"
36,"['us-ok', 204.0]"
37,"['us-or', 164.0]"
38,"['us-pa', 494.0]"
39,"['us-ri', 32.0]"
40,"['us-sc', 230.0]"
41,"['us-sd', 30.0]"
42,"['us-tn', 331.0]"
43,"['us-tx', 1191.0]"
44,"['us-ut', 116.0]"
45,"['us-va', 401.0]"
46,"['us-vt', 26.0]"
47,"['us-wa', 263.0]"
48,"['us-wi', 299.0]"
49,"['us-wv', 104.0]"
50,"['us-wy', 29.0]"
