JS Format
"['us-ak', 18.0]"
"['us-al', 192.0]"
"['us-ar', 111.0]"
"['us-az', 269.0]"
"['us-ca', 1274.0]"
"['us-co', 190.0]"
"['us-ct', 147.0]"
"['us-dc', 28.0]"
"['us-de', 32.0]"
"['us-fl', 863.0]"
"['us-ga', 373.0]"
"['us-hi', 53.0]"
"['us-ia', 105.0]"
"['us-id', 52.0]"
"['us-il', 587.0]"
"['us-in', 304.0]"
"['us-ks', 120.0]"
"['us-ky', 158.0]"
"['us-la', 156.0]"
"['us-ma', 242.0]"
"['us-md', 266.0]"
"['us-me', 11.0]"
"['us-mi', 451.0]"
"['us-mn', 170.0]"
"['us-mo', 230.0]"
"['us-ms', 47.0]"
"['us-mt', 24.0]"
"['us-nc', 392.0]"
"['us-nd', 18.0]"
"['us-ne', 51.0]"
"['us-nh', 33.0]"
"['us-nj', 252.0]"
"['us-nm', 73.0]"
"['us-nv', 127.0]"
"['us-ny', 534.0]"
"['us-oh', 514.0]"
"['us-ok', 172.0]"
"['us-or', 134.0]"
"['us-pa', 457.0]"
"['us-ri', 32.0]"
"['us-sc', 180.0]"
"['us-sd', 15.0]"
"['us-tn', 251.0]"
"['us-tx', 1081.0]"
"['us-ut', 107.0]"
"['us-va', 335.0]"
"['us-vt', 1.0]"
"['us-wa', 235.0]"
"['us-wi', 251.0]"
"['us-wv', 9.0]"
"['us-wy', 9.0]"
