JS Format
"['us-ak', 3]"
"['us-al', 245]"
"['us-ar', 173]"
"['us-az', 289]"
"['us-ca', 1288]"
"['us-co', 211]"
"['us-ct', 142]"
"['us-dc', 27]"
"['us-de', 37]"
"['us-fl', 907]"
"['us-ga', 454]"
"['us-ia', 147]"
"['us-id', 62]"
"['us-il', 663]"
"['us-in', 349]"
"['us-ks', 148]"
"['us-ky', 251]"
"['us-la', 240]"
"['us-ma', 234]"
"['us-md', 288]"
"['us-me', 62]"
"['us-mi', 545]"
"['us-mn', 226]"
"['us-mo', 315]"
"['us-ms', 144]"
"['us-mt', 48]"
"['us-nc', 489]"
"['us-nd', 25]"
"['us-ne', 78]"
"['us-nh', 54]"
"['us-nj', 264]"
"['us-nm', 104]"
"['us-nv', 144]"
"['us-ny', 617]"
"['us-oh', 615]"
"['us-ok', 204]"
"['us-or', 164]"
"['us-pa', 494]"
"['us-ri', 31]"
"['us-sc', 230]"
"['us-sd', 30]"
"['us-tn', 331]"
"['us-tx', 1191]"
"['us-ut', 116]"
"['us-va', 401]"
"['us-vt', 26]"
"['us-wa', 263]"
"['us-wi', 299]"
"['us-wv', 104]"
"['us-wy', 29]"
